text,true_emotion,predicted_emotion
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz ,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,sadness
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,sadness
If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
Should of stayed in Dubai 😞,sadness,sadness
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
Common app just randomly logged me out as I was writing the last part of my college essay and lost all of it 😭😭😭,sadness,sadness
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,sadness
